"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sdc4",1.5255068726136e-52,-0.652999187589689,0.271,0.538,2.62295651677183e-48
"Akr1a1",2.01041679989994e-52,-0.362016729167475,0.999,0.999,3.45671064574796e-48
"Unc93b1",3.63393618040108e-52,0.452382376457144,0.967,0.917,6.24818986858162e-48
"Pfn1",4.56691771272174e-52,-0.344667527276513,0.995,0.997,7.85235831525375e-48
"Rps21",5.43088602929749e-52,0.352152906509019,0.999,0.997,9.3378654387741e-48
"Rassf4",6.66544424596888e-52,0.502985367681093,0.954,0.82,1.14605648365189e-47
"Fam198b",8.48083684088073e-52,-0.49340649156302,0.226,0.493,1.45819508642103e-47
"Klk1b1",8.49021136358045e-52,0.521064018003739,0.516,0.224,1.45980694185402e-47
"Fam129b",8.71440509924178e-52,-0.528667884340798,0.634,0.764,1.49835481276363e-47
"mt-Nd4",2.6208598550862e-51,0.329680582282586,1,1,4.50630643483521e-47
"Gm42418",4.18092189831863e-51,0.478639443550957,1,1,7.18867711196906e-47
"Sec61b",1.13591830652445e-50,0.597307855064117,0.982,0.956,1.95309793623814e-46
"Neurl3",1.42019683635232e-50,0.312214037483971,0.568,0.248,2.44188644042417e-46
"Cdkn1a",1.68754684491682e-50,-0.670285782592179,0.785,0.908,2.90156804514998e-46
"Heatr1",2.18463645955447e-50,-0.486877126037384,0.366,0.579,3.75626392855795e-46
"Ssr4",2.74238264329958e-50,0.456862647370394,0.939,0.815,4.7152527168893e-46
"Btf3",4.41941947547761e-50,0.403140979072373,0.992,0.965,7.59874984613621e-46
"Nop53",4.49588764809982e-50,0.377958813142068,0.817,0.52,7.73022922214283e-46
"Capzb",7.67191996664983e-50,-0.364943577802811,0.986,0.994,1.31910991906577e-45
"Aprt",1.47818403288878e-49,-0.470408187359475,0.962,0.969,2.54158962614896e-45
"Gusb",1.93676250320833e-49,-0.47456851682338,0.845,0.886,3.3300694480164e-45
"Soat1",2.08905743236195e-49,-0.395411690545872,0.976,0.982,3.59192534920313e-45
"Lpar6",2.45385879044879e-49,0.433699552467873,0.519,0.232,4.21916480429764e-45
"Cfl1",3.84446545367489e-49,-0.343993649289421,0.997,0.997,6.61017390104861e-45
"Mcemp1",4.6399353666864e-49,0.469560044311189,0.892,0.629,7.97790486948059e-45
"Lrp12",6.95931606416401e-49,-0.503501213924971,0.804,0.899,1.19658480407236e-44
"Ctsc",8.281180971634e-49,0.500624010704744,0.976,0.923,1.42386625626275e-44
"Ankrd44",8.40928579473251e-49,0.327762034186913,0.692,0.349,1.44589259954631e-44
"Dhrs3",1.0182969531989e-48,0.538571149202644,0.805,0.512,1.75085978133019e-44
"Tbxas1",1.93027078698692e-48,0.409662492616134,0.873,0.618,3.31890759114531e-44
"Rps17",2.52357066207936e-48,0.319083246847372,0.997,0.987,4.33902739637925e-44
"Il6ra",2.46378874148132e-47,0.363553034310627,0.656,0.328,4.23623836210298e-43
"Sphk1",3.77623716583878e-47,-0.397476399834057,0.091,0.34,6.4928621829432e-43
"Prcp",5.61184246852315e-47,0.406893866775892,0.939,0.723,9.6490019403787e-43
"Napsa",6.46723266583809e-47,0.462051314822695,0.932,0.792,1.1119759845642e-42
"Nsa2",6.56794191452038e-47,0.3938217986209,0.952,0.852,1.12929193278263e-42
"Kxd1",3.37168530056492e-46,0.379750971103581,0.763,0.458,5.79727570579132e-42
"Capg",5.52339633385506e-46,-0.395178954814125,0.989,0.983,9.49692765643038e-42
"Egr1",1.10180806835858e-45,0.440403740195584,0.499,0.216,1.89444879273574e-41
"Eif3m",1.85156030501756e-45,0.424106183263636,0.848,0.604,3.18357278844719e-41
"Sgk1",2.19057377947959e-45,0.674113491280276,0.9,0.73,3.76647255643721e-41
"Ccl3",2.26421040230249e-45,-0.838739284703311,0.336,0.591,3.8930833657189e-41
"Cd14",3.19017300751199e-45,0.6645355977599,0.631,0.344,5.48518346911612e-41
"AB124611",3.22883518090831e-45,0.374555771153611,0.755,0.441,5.55165921005374e-41
"Itga4",4.34934138385142e-45,0.36891073743101,0.662,0.353,7.47825757539414e-41
"Basp1",5.84956039075083e-45,-0.499474559196907,0.878,0.954,1.0057734135857e-40
"Arl8b",1.54760380376138e-44,-0.504874246971047,0.892,0.928,2.66094998018732e-40
"Azin1",1.99510366249582e-44,-0.486684596811655,0.594,0.735,3.43038123729531e-40
