"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Frrs1",1.39725364825077e-119,0.420190897255013,0.783,0.339,2.40243792280238e-115
"Rogdi",1.74847688145066e-119,-0.574924880247378,0.798,0.916,3.00633114996626e-115
"Rps8",2.42978114241649e-119,0.340467696677127,1,0.989,4.17776569627092e-115
"Ralb",1.86770367908253e-118,0.42800766680393,0.843,0.462,3.2113297058145e-114
"Cxcr4",4.20432674729151e-118,-0.335800918439492,0.065,0.47,7.22891940929301e-114
"Slamf7",5.72133823457773e-118,-0.557973796483999,0.665,0.888,9.83726896053295e-114
"Slc7a11",6.32750561458334e-118,-0.538597221802365,0.352,0.844,1.08795131537146e-113
"Rack1",8.20802692590903e-118,0.396282369201264,1,0.983,1.4112881496408e-113
"Fam60a",1.25123645492615e-117,-0.430268923462633,0.341,0.74,2.15137596060002e-113
"Zfp710",2.27179446047516e-117,0.327071160318053,0.686,0.224,3.90612339534099e-113
"Sh3glb1",2.38131517534729e-117,-0.470901921908493,0.978,0.962,4.09443331249213e-113
"Gas2l3",2.4179962844305e-117,0.328651017428196,0.601,0.124,4.15750281144979e-113
"Gtpbp2",2.47060122137167e-117,-0.42805496672638,0.398,0.765,4.24795174002645e-113
"Ahnak",3.30159225178346e-117,0.546641555691568,0.989,0.824,5.67675771771648e-113
"Lilrb4a",3.52829090381965e-117,0.391818555207848,0.628,0.14,6.06654338002751e-113
"Unc119b",3.67115345945576e-117,0.279037753483002,0.524,0.054,6.31218125818823e-113
"Clic1",5.15167520052364e-117,0.395103449416625,0.993,0.945,8.85779033978034e-113
"Selenot",6.48781617509484e-117,0.401900091807464,0.868,0.491,1.11551511314581e-112
"Slc25a5",1.05551586312397e-116,0.436353606449387,0.982,0.883,1.81485397505535e-112
"Ktn1",1.82024438834811e-116,-0.687687760186511,0.589,0.842,3.12972820132574e-112
"Rgs18",5.87412984733383e-116,0.27335814442244,0.479,0.026,1.00999788595058e-111
"Ahr",7.77525310338951e-116,0.515942366809081,0.738,0.273,1.33687701859679e-111
"Tbc1d4",1.01368432247315e-115,-1.01051322769242,0.26,0.646,1.74292882406033e-111
"Ggh",1.21309734367986e-115,0.404665209986926,0.86,0.492,2.08579957272314e-111
"Fcrls",1.552830698006e-115,0.503022081512375,0.505,0.049,2.66993710215152e-111
"Mef2c",3.15115425284854e-115,0.354717766999908,0.508,0.048,5.41809462234779e-111
"Klk1b11",5.82468915367155e-115,1.67831585476754,0.676,0.249,1.00149705308229e-110
"Pald1",9.8281824920341e-115,0.262428906415479,0.499,0.042,1.68985769768034e-110
"Pdcd4",1.60333936384852e-114,-0.678961941087321,0.382,0.738,2.75678170220115e-110
"Ppp1r14b",1.6395888394888e-114,0.492424957833532,0.952,0.768,2.81910905061704e-110
"Rab13",3.79214578425662e-114,-0.363689395101744,0.164,0.578,6.52021546145084e-110
"Cd300lf",5.86861883033879e-114,0.404913616660039,0.722,0.232,1.00905032168845e-109
"Uqcr11",9.04873403896772e-114,0.409738479811235,0.98,0.867,1.55583933066011e-109
"Plcg2",1.25906769321631e-113,0.334847622908496,0.76,0.326,2.16484099171612e-109
"Ostc",1.54895244933245e-113,0.434004480584133,0.89,0.6,2.66326884138222e-109
"Aldoc",3.45223274436439e-113,0.43341580100082,0.697,0.231,5.93576898066014e-109
"Pfdn5",5.37283259765307e-113,-0.421377605800289,0.99,0.977,9.23804836840469e-109
"Asgr2",8.34430128542519e-113,1.53031032581048,0.647,0.193,1.43471916301601e-108
"Tgfbr2",1.28904474096873e-112,0.279594589563445,0.588,0.11,2.21638352762164e-108
"Tmem147",1.46357274630852e-112,0.388531260038542,0.837,0.478,2.51646698000286e-108
"Fam3c",2.29588583836141e-112,0.379342327838938,0.76,0.348,3.94754611047861e-108
"Gsto1",2.58754980139645e-112,-0.642041785981155,0.849,0.904,4.44903312852105e-108
"Psap",2.93106492483515e-112,0.710923579845857,0.999,0.973,5.03967303176156e-108
"Mapk14",4.35726958385051e-112,0.344537794028272,0.743,0.291,7.49188932247256e-108
"Tmed9",5.26411670953614e-112,0.423056943049,0.937,0.776,9.05112227037644e-108
"Slco3a1",5.6029982192535e-112,0.415199385247793,0.672,0.206,9.63379513818447e-108
"Gpr183",6.76248682322102e-112,0.409795761074262,0.752,0.259,1.16274198438462e-107
"Tmed5",1.70598615818217e-111,0.408844877391814,0.869,0.493,2.93327260037842e-107
"Atmin",1.96267958554719e-111,-0.383390839802909,0.265,0.664,3.37463127938984e-107
"Csf2ra",2.38131090702191e-111,0.46829659975353,0.913,0.637,4.09442597353347e-107
"Hipk1",3.5200624079989e-111,0.399046941525231,0.853,0.518,6.05239530431331e-107
"Mmp23",4.46198933299564e-111,-0.259689826451605,0.024,0.373,7.6719444591527e-107
"Rps6",5.23765037529898e-111,0.384494177609221,0.999,0.978,9.00561605528906e-107
"AU022793",6.81244816883737e-111,0.305649745378788,0.555,0.089,1.1713323381499e-106
"Dmrta2",7.032369538724e-111,-0.449158125510767,0.027,0.376,1.2091456184882e-106
"Txndc17",7.29653127957788e-111,-0.671322594463701,0.967,0.956,1.25456558821062e-106
"Psmg4",7.42485452744771e-111,-0.557560414105736,0.716,0.866,1.27662948744936e-106
"5031439G07Rik",7.67651115043288e-111,0.371851215272485,0.816,0.424,1.31989932720543e-106
"Dynll1",1.71148241132142e-110,0.480818363519922,0.981,0.864,2.94272285802604e-106
"Pnp",1.97866068499566e-110,0.465474973010188,0.945,0.731,3.40210918178153e-106
"Sept9",2.51494510203169e-110,0.421478124734682,0.876,0.552,4.32419660843328e-106
"Tnfrsf4",3.26310790576398e-110,-0.475169142741327,0.018,0.357,5.61058773317059e-106
"Tnfrsf11a",4.4599776757957e-110,-0.382313875443774,0.261,0.665,7.66848561576313e-106
