"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Ftl1-ps1",0.00196238110955776,-0.642544631353405,0.214,0.611,1,3.03578786957314e-08,-0.631104463779352,0.266,0.602,0.000521973366294406,0.00196238110955776,6.0715756469862e-08
"Atox1",4.73532608986332e-05,-0.863434097222617,0.714,0.91,0.814191967891099,3.19629791125891e-08,-0.605383664471042,0.781,0.873,0.000549571462861857,4.73532608986332e-05,6.39259572035461e-08
"Mt1",0.00135365598333065,-0.745329119519437,0.571,0.873,1,3.44217530975113e-08,-1.37877902430687,0.656,0.817,0.00059184762275861,0.00135365598333065,6.88435050101655e-08
"Trappc6a",0.0222792150454159,0.639718054453695,0.786,0.685,1,3.57272401178394e-08,0.363974259160978,0.719,0.469,0.000614294166586131,0.0222792150454159,7.1454478959243e-08
"Acpp",0.0317602210506472,-0.356401915969404,0.143,0.478,1,3.65399550508508e-08,-0.65460897207833,0.156,0.494,0.000628267987144328,0.0317602210506472,7.3079908766533e-08
"Mgst1",0.000269517123421738,-1.07566975389229,0.071,0.579,1,4.01618912058679e-08,-0.737704154600539,0.219,0.545,0.000690543557393692,0.000269517123421738,8.0323780798758e-08
"Ifitm2",0.0608956225293728,0.42417361626063,0.786,0.825,1,4.34453945708132e-08,0.381406998170441,0.922,0.742,0.000747000114250562,0.0608956225293728,8.6890787254124e-08
"Tnfrsf1a",7.84787017025191e-05,-0.532074271486021,0,0.588,1,4.62683917611367e-08,-0.505818653562957,0.109,0.466,0.000795538727940984,7.84787017025191e-05,9.25367813815092e-08
"Ahnak",0.000263222218719935,-0.941664209464437,0.286,0.756,1,4.98285848233729e-08,-0.835445431789711,0.422,0.666,0.000856752687453073,0.000263222218719935,9.96571671638576e-08
"Manf",0.0242308764834614,0.870571532046993,0.643,0.627,1,5.2910197626471e-08,0.771664373950833,0.672,0.49,0.000909737937989543,0.0242308764834614,1.05820392453453e-07
"Plekho1",0.000902724259563583,-0.677021768107897,0.143,0.614,1,5.3762106669695e-08,-0.534640806762602,0.094,0.433,0.000924385662078736,0.000902724259563583,1.07524210449026e-07
"Ngly1",0.000942561946889212,0.437230949587208,0.643,0.323,1,5.62654907335083e-08,0.411564541126691,0.453,0.209,0.000967428847671942,0.000942561946889212,1.12530978301211e-07
"Lpp",0.000155126860233828,-0.577696565675578,0,0.558,1,5.78808849312078e-08,-0.594591171127064,0.172,0.523,0.000995203935507186,0.000155126860233828,1.15761766512219e-07
"Prcp",0.000132988112138368,-0.69752116705541,0.143,0.652,1,6.12944362928776e-08,-0.470966676510732,0.078,0.417,0.00105389653761974,0.000132988112138368,1.22588868828747e-07
"Cebpb",0.000138873460742639,-1.47617046757135,0.429,0.804,1,6.27410376091588e-08,-0.673844888268276,0.906,0.885,0.00107876940065188,0.000138873460742639,1.2548207128188e-07
"Pyurf",0.0708395850808498,0.944170559780835,0.429,0.29,1,6.38835917004259e-08,0.274168390250623,0.312,0.116,0.00109841447569712,0.0708395850808498,1.27767179319739e-07
"Cks2",8.49496866310372e-05,0.810022201037827,0.714,0.347,1,6.43315241865005e-08,0.461483720526057,0.469,0.226,0.00110611622686269,8.49496866310372e-05,1.28663044234456e-07
"Blvrb",0.00245848285363647,-0.721243540034275,0.429,0.782,1,6.45131581965578e-08,-0.710671619550181,0.422,0.698,0.00110923924203161,0.00245848285363647,1.29026312231168e-07
"Kctd12",1.35497796464225e-05,-0.981474664157618,0.071,0.694,0.232974911240588,8.00701725970951e-08,-0.60239459331899,0.156,0.5,0.00137672654763445,1.35497796464225e-05,1.60140338782957e-07
"Tmem189",0.0393420354328415,-0.312603343188154,0.357,0.629,1,8.23869729954487e-08,-0.637736425277162,0.297,0.616,0.00141656161368375,0.0393420354328415,1.64773939203284e-07
"Ninj1",0.0394768799289383,-0.352717566015026,0.286,0.593,1,8.80120900684748e-08,-0.706734336604731,0.297,0.621,0.00151327987663736,0.0394768799289383,1.76024172390822e-07
"Foxp1",0.0141563154280744,0.39981712535861,0.643,0.451,1,9.5087408860856e-08,0.389326306789579,0.547,0.3,0.00163493290795356,0.0141563154280744,1.90174808680097e-07
"Add3",0.0386908008775819,0.342958858200901,0.643,0.525,1,9.66832041630173e-08,0.566481079607824,0.547,0.31,0.00166237101237892,0.0386908008775819,1.93366398978393e-07
"Msr1",0.00223075620710831,-0.746513787551279,0,0.425,1,1.01846904621619e-07,-0.807668733767712,0.203,0.521,0.00175115567806412,0.00223075620710831,2.03693798870446e-07
"Ptpn1",0.000132797907865999,-0.875228247639898,0.429,0.805,1,1.03443870119927e-07,-0.623638803360149,0.516,0.721,0.00177861390284203,0.000132797907865999,2.0688772953922e-07
"Hexa",0.000249743086871909,-0.865798836325412,0.357,0.774,1,1.05202026515512e-07,-0.544181706000284,0.422,0.709,0.00180884364390772,0.000249743086871909,2.10404041963559e-07
"H2-DMa",0.000124950751573975,-1.33957653213603,0.286,0.702,1,1.10063739130231e-07,-0.834492313811912,0.234,0.522,0.00189243593060519,0.000124950751573975,2.20127466146435e-07
"Hmox1",0.00580020365644378,-0.636661422568421,0.071,0.44,1,1.13127312950464e-07,-0.786642950609684,0.156,0.469,0.00194511101887027,0.00580020365644378,2.26254613103139e-07
"Lpcat3",0.705255453548596,0.323306225460933,0.429,0.494,1,1.14415341143503e-07,0.469336190033888,0.578,0.329,0.00196725737562139,0.705255453548596,2.28830669196136e-07
"Ier2",0.133546223722258,0.353719828467014,0.714,0.574,1,1.14641052378403e-07,0.372578784482595,0.688,0.388,0.00197113825459427,0.133546223722258,2.29282091614236e-07
"Fli1",0.168079452217439,0.2783571425538,0.5,0.483,1,1.2153372063515e-07,0.272705655997764,0.609,0.333,0.00208965079260077,0.168079452217439,2.43067426499855e-07
"Cd93",0.00148266804168573,-0.888132250245423,0.071,0.496,1,1.23549908688635e-07,-0.731607874307691,0.312,0.601,0.00212431712999239,0.00148266804168573,2.4709980211269e-07
"Cbl",0.000700312347977268,-0.560095159196953,0.286,0.735,1,1.27686486686114e-07,-0.573574337883175,0.328,0.616,0.00219544145208105,0.000700312347977268,2.55372957068389e-07
"Hsd17b11",0.0101753373751106,-0.397865997116178,0.214,0.562,1,1.29127871123256e-07,-0.475282493444006,0.078,0.408,0.00222022461609327,0.0101753373751106,2.58255725572505e-07
"Mmp12",0.00458262393776613,-2.10198380539953,0.357,0.719,1,1.32266083115555e-07,-1.80340633661861,0.828,0.857,0.00227418303308886,0.00458262393776613,2.64532148736794e-07
"Ankrd44",0.0656803349971854,0.301821858141517,0.714,0.584,1,1.43820395625385e-07,0.420003440996645,0.609,0.34,0.00247284788238287,0.0656803349971854,2.87640770566464e-07
"Rab7b",0.0505991564049643,-0.322510673871871,0.071,0.312,1,1.53340567490171e-07,-0.574889512785007,0.062,0.377,0.002636537717426,0.0505991564049643,3.06681111467013e-07
"5031439G07Rik",0.00662555502862886,-0.289985950842771,0.143,0.627,1,1.60739061731758e-07,-0.473360065563718,0.203,0.527,0.00276374742741585,0.00662555502862886,3.21478097626471e-07
